nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,EtisktEtikett,Koscher,RavarorBeskrivning
7898201,1117585,78982,Giulio Ferrari,Riserva del Fondatore,795.00,,750.00,1060.00,2016/08/01,0,Mousserande vin,,,Flaska,,Trentino-Alto Adige,Italien,Ferrari,Vinunic AB,2004,,12.50%,BS,Övrigt sortiment,0,0,,0,
7930701,1117657,79307,Juan Gil,Silver Label,149.00,,750.00,198.67,2016/09/01,0,Rött vin,,,Flaska,,Jumilla,Spanien,Bodegas Juan Gil,Vinunic AB,2014,,15.00%,BS,Övrigt sortiment,0,0,,0,
7953701,1117680,79537,Charlotte Perrelli,Mil & Uma Noites,69.00,,750.00,92.00,2016/09/01,0,Mousserande vin,,,Flaska,,Tejo,Portugal,Sigva Partner AB,Sigva AB,2015,,10.50%,BS,Övrigt sortiment,0,0,,0,
184603,1117779,1846,Hannas Julcider Pepparkaka,,17.90,,330.00,54.24,2017/11/01,0,Cider,Söt,,Flaska,,,Sverige,Three Towns Ind Brewers,Galatea AB,,,4.50%,TSS,Säsongsdrycker,0,0,,0,
7910901,1117813,79109,Côtes du Rhône,Vielles Vignes Domaine Font de Courtedune,139.00,,750.00,185.33,2016/08/01,0,Rött vin,,,Flaska,,Rhonedalen,Frankrike,Domaine Font de Courtedune,Quaffable Wines Sweden AB,2015,,14.00%,BS,Övrigt sortiment,0,0,,0,
7911601,1117878,79116,Masciarelli,Montepulciano d''Abruzzo,109.00,,750.00,145.33,2016/08/01,0,Rött vin,Kryddigt & Mustigt,,Flaska,Skruvkapsyl,Abruzzerna,Italien,Masciarelli,Quaffable Wines Sweden AB,2014,,13.00%,BS,Övrigt sortiment,0,0,,0,Montepulciano.
7912401,1117936,79124,Barbera d''Alba Tres,Cascina Alberta,154.00,,750.00,205.33,2016/07/29,0,Rött vin,,,Flaska,,Piemonte,Italien,Cascina Alberta,Castore Sweden AB,2014,,13.50%,BS,Övrigt sortiment,0,0,,0,
1193503,1118008,11935,Mariestads Julöl Alkoholfri,,12.90,,330.00,39.09,2017/11/01,0,Alkoholfritt,Öl,,Flaska,,,Sverige,Spendrups,Spendrups Bryggeri AB,,,0.50%,TSS,Säsongsdrycker,0,0,,0,
1194203,1118095,11942,Nils Oscar Alkoholfri Julöl,,15.90,,330.00,48.18,2017/11/01,0,Alkoholfritt,Öl,,Flaska,,,Sverige,Nils Oscar AB,Nils Oscar AB,,,0.40%,TSS,Säsongsdrycker,0,0,,0,Kornmalt och humle.
1197801,1118143,11978,Blossa Vinteräpple,,49.00,,750.00,65.33,2017/11/01,0,Alkoholfritt,Övrigt,,Flaska,Skruvkapsyl,,Finland,Altia,Altia Sweden AB,,,0.50%,TSS,Säsongsdrycker,0,0,,0,
